titulo,popularidade,nota_media,generos
레깅스 마니아,23.6484,7.3,"Drama, Romance"
Rob1n: Inteligência Assassina,23.6195,5.244,"Terror, Thriller"
Maze Runner: Correr ou Morrer,23.55,7.192,"Ficção científica, Mistério, Ação, Thriller"
Sirāt,23.5204,7.0,"Drama, Mistério, Thriller"
A Origem,23.4836,8.37,"Aventura, Ação, Ficção científica"
Alien - Romulus,23.4011,7.2,"Ficção científica, Terror"
William Tell,23.3405,6.48,"História, Drama, Ação"
O Senhor dos Anéis: A Sociedade do Anel,22.9977,8.4,"Ação, Fantasia, Aventura"
Os Incríveis 2,22.8023,7.455,"Aventura, Animação, Ação, Família"
Hotel Desire,22.718,6.153,"Romance, Drama"
O Hobbit: A Batalha dos Cinco Exércitos,22.5425,7.327,"Fantasia, Aventura, Ação"
Viva: A Vida é uma Festa,22.5087,8.202,"Aventura, Animação, Família, Música"
O Palhaço no Milharal,22.4708,6.139,"Terror, Mistério, Thriller"
Dolce... calda Lisa,22.4304,4.8,Drama
TRON: Ares,22.4271,0.0,"Ficção científica, Aventura, Ação"
내 친구의 엄마,22.3948,4.8,Romance
Ladrões de Ouro,22.3355,6.896,"Drama, Ação, Comédia, Faroeste"
O Senhor dos Anéis: O Retorno do Rei,22.1526,8.489,"Ação, Fantasia, Aventura"
가슴 큰 울 엄마,22.1275,6.2,"Drama, Romance"
Matador de Aluguel,22.1058,6.9,"Ação, Thriller"
犯す!,22.0608,6.0,"Drama, Thriller, Terror"
"Gatao: Tal Pai, Tal Filho",22.0181,10.0,"Ação, Crime"
Titanic,21.8047,7.906,"Drama, Romance"
Os Estranhos: Capítulo 2,21.5913,5.0,"Terror, Thriller"
Harry Potter e a Câmara Secreta,21.5552,7.705,"Fantasia, Aventura"
Cinquenta Tons de Cinza,21.4752,5.88,"Thriller, Drama, Romance"
Lembayung,21.3802,7.2,"Thriller, Terror"
Wicked,21.3633,6.933,"Fantasia, Romance, Drama"
Quero Você,21.3621,6.2,"Romance, Thriller"
Shadow of God,21.333,5.681,Terror
దె కాల్ హిమ్ ఓజి,21.2714,7.2,"Thriller, Ação"
A Casa Mágica da Gabby: O Filme,21.2321,6.5,"Família, Aventura, Comédia"
Sorority,21.1297,6.6,"Romance, Drama"
"África, Adeus!",21.0403,6.261,"Terror, Documentário"
Pleasure,20.9631,6.3,Drama
Relay,20.9426,7.2,"Drama, Thriller"
La iena,20.8933,4.1,"Thriller, Romance"
Призрак,20.868,6.3,"Família, Comédia"
Harry Potter e o Cálice de Fogo,20.6426,7.8,"Fantasia, Aventura"
Kraven: O Caçador,20.5112,6.5,"Thriller, Aventura, Ação"
Acompanhante Perfeita,20.4718,7.051,"Thriller, Ficção científica, Terror"
Harry Potter e o Prisioneiro de Azkaban,20.453,8.01,"Aventura, Fantasia"
Duro de Casar,20.4466,5.566,"Comédia, Ação"
Boss Ma'am,20.4388,7.5,Drama
Crepúsculo,20.2606,6.288,"Fantasia, Drama, Romance"
Operação Vingança,20.2548,6.981,"Ação, Thriller"
Matrix,20.2099,8.232,"Ação, Ficção científica"
Anjos Caídos: Guerreiros da Paz,20.2063,6.088,"Fantasia, Aventura, Terror, Ação"
Mufasa: O Rei Leão,20.1823,7.36,"Família, Aventura, Animação"
Coraline e o Mundo Secreto,20.0962,7.898,"Família, Animação, Fantasia"
Operação Natal,19.9306,7.047,"Fantasia, Ação, Comédia"
O Mesmo Dia com Você,19.874,7.5,"Comédia, Romance, Fantasia"
Shrek,19.8608,7.752,"Família, Aventura, Fantasia, Animação, Comédia"
Harry Potter e as Relíquias da Morte - Parte 1,19.822,7.738,"Fantasia, Aventura"
ഹൃദയപൂര്‍വ്വം,19.7308,8.4,"Comédia, Drama, Família, Romance"
Piratas do Caribe: Navegando em Águas Misteriosas,19.7225,6.561,"Ação, Aventura, Fantasia"
Tras el verano,19.7102,6.5,Drama
Ela Disse Talvez,19.6877,6.365,"Drama, Romance, Comédia"
엄마친구,19.5907,7.0,Drama
Shang-Chi e a Lenda dos Dez Anéis,19.5879,7.51,"Ação, Aventura, Fantasia"
All the Devils Are Here,19.547,6.4,"Drama, Thriller, Crime"
Pássaro que Canta Não Voa,19.4869,6.8,"Drama, Animação"
A Pervertida,19.4552,5.6,"Drama, Romance, Comédia"
Parasita,19.4449,8.498,"Drama, Thriller, Comédia"
John Wick 4: Baba Yaga,19.4442,7.719,"Crime, Ação, Thriller"
Homem de Ferro 2,19.2218,6.848,"Aventura, Ficção científica, Ação"
Piratas do Caribe: A Maldição do Pérola Negra,19.1804,7.814,"Aventura, Fantasia, Ação"
Tempo de Guerra,19.0408,7.126,"Ação, Guerra"
A Vingança de Popeye,19.0398,5.068,Terror
Code 3,19.0172,6.795,"Comédia, Ação"
スターヴァージン,19.012,5.3,"Ação, Comédia, Ficção científica"
Homo Argentum,18.8998,5.4,Comédia
Robô Selvagem,18.8303,8.318,"Família, Animação, Ficção científica"
Seven - Os Sete Crimes Capitais,18.7101,8.376,"Thriller, Mistério, Crime"
Homem-Aranha: Através do Aranhaverso,18.688,8.34,"Ficção científica, Ação, Aventura, Animação"
Harry Potter e o Enigma do Príncipe,18.5687,7.682,"Fantasia, Aventura"
Piratas do Caribe: O Baú da Morte,18.5343,7.371,"Fantasia, Aventura, Ação"
Harry Potter e a Ordem da Fênix,18.5311,7.673,"Aventura, Fantasia"
Homem-Aranha: De Volta ao Lar,18.4872,7.33,"Ação, Ficção científica, Aventura"
Les Kaïra,18.453,5.052,Comédia
Bastardos Inglórios,18.4177,8.215,"Guerra, Drama, Thriller"
